frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
1180,9.833333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1181,9.841666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1182,9.85,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1183,9.858333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1184,9.866666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1185,9.875,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1186,9.883333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1187,9.891666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1188,9.9,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1189,9.908333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1190,9.916666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1191,9.925,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1192,9.933333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1193,9.941666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1194,9.95,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1195,9.958333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1196,9.966666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1197,9.975,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1198,9.983333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1199,9.991666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1200,10.0,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1201,10.008333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1202,10.016666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1203,10.025,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1204,10.033333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1205,10.041666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1206,10.05,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1207,10.058333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1208,10.066666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1209,10.075,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1210,10.083333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1211,10.091666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1212,10.1,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1213,10.108333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1214,10.116666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1215,10.125,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1216,10.133333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1217,10.141666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1218,10.15,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1219,10.158333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1220,10.166666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1221,10.175,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1222,10.183333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1223,10.191666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1224,10.2,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1225,10.208333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1226,10.216666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1227,10.225,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1228,10.233333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1229,10.241666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1230,10.25,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1231,10.258333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1232,10.266666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1233,10.275,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1234,10.283333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1235,10.291666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1236,10.3,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1237,10.308333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1238,10.316666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1239,10.325,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1240,10.333333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1241,10.341666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1242,10.35,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1243,10.358333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1244,10.366666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1245,10.375,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1246,10.383333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1247,10.391666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1248,10.4,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1249,10.408333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1250,10.416666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1251,10.425,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1252,10.433333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1253,10.441666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1254,10.45,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1255,10.458333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1256,10.466666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1257,10.475,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1258,10.483333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1259,10.491666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1260,10.5,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
