time_s,25k_50k_84.88deg
1.48E-05,0.30384197
1.48E-05,0.305250292
1.48E-05,0.306657325
1.49E-05,0.308062979
1.49E-05,0.309467167
1.49E-05,0.310869801
1.49E-05,0.312270795
1.49E-05,0.313670059
1.50E-05,0.315067507
1.50E-05,0.31646305
1.50E-05,0.3178566
1.50E-05,0.319248071
1.50E-05,0.320637374
1.51E-05,0.32202442
1.51E-05,0.323409123
1.51E-05,0.324791394
1.51E-05,0.326171145
1.51E-05,0.327548289
1.52E-05,0.328922737
1.52E-05,0.330294402
1.52E-05,0.331663196
1.52E-05,0.33302903
1.52E-05,0.334391817
1.53E-05,0.335751469
1.53E-05,0.337107899
1.53E-05,0.338461018
1.53E-05,0.339810738
1.53E-05,0.341156973
1.54E-05,0.342499633
1.54E-05,0.343838633
1.54E-05,0.345173883
1.54E-05,0.346505296
1.54E-05,0.347832786
1.55E-05,0.349156264
1.55E-05,0.350475643
1.55E-05,0.351790836
1.55E-05,0.353101755
1.55E-05,0.354408314
1.56E-05,0.355710425
1.56E-05,0.357008002
1.56E-05,0.358300956
1.56E-05,0.359589203
1.56E-05,0.360872654
1.57E-05,0.362151223
1.57E-05,0.363424824
1.57E-05,0.36469337
1.57E-05,0.365956775
1.57E-05,0.367214952
1.58E-05,0.368467816
1.58E-05,0.369715281
1.58E-05,0.37095726
1.58E-05,0.372193668
1.58E-05,0.37342442
1.59E-05,0.374649429
1.59E-05,0.375868611
1.59E-05,0.37708188
1.59E-05,0.378289152
1.59E-05,0.379490341
1.60E-05,0.380685362
1.60E-05,0.381874132
1.60E-05,0.383056565
1.60E-05,0.384232577
1.60E-05,0.385402085
1.61E-05,0.386565004
1.61E-05,0.387721251
1.61E-05,0.388870742
1.61E-05,0.390013393
1.61E-05,0.391149122
1.62E-05,0.392277845
1.62E-05,0.39339948
1.62E-05,0.394513943
1.62E-05,0.395621154
1.62E-05,0.396721028
1.63E-05,0.397813485
1.63E-05,0.398898443
1.63E-05,0.399975819
1.63E-05,0.401045533
1.63E-05,0.402107503
1.64E-05,0.403161649
1.64E-05,0.40420789
1.64E-05,0.405246145
1.64E-05,0.406276334
1.64E-05,0.407298377
1.65E-05,0.408312195
1.65E-05,0.409317708
1.65E-05,0.410314836
1.65E-05,0.411303501
1.65E-05,0.412283624
1.66E-05,0.413255127
1.66E-05,0.414217931
1.66E-05,0.415171958
1.66E-05,0.416117131
1.66E-05,0.417053373
1.67E-05,0.417980605
1.67E-05,0.418898753
1.67E-05,0.419807738
1.67E-05,0.420707485
1.67E-05,0.421597917
1.68E-05,0.422478959
1.68E-05,0.423350537
1.68E-05,0.424212573
1.68E-05,0.425064995
1.68E-05,0.425907727
1.69E-05,0.426740695
1.69E-05,0.427563826
1.69E-05,0.428377046
1.69E-05,0.429180281
1.69E-05,0.42997346
1.70E-05,0.430756509
1.70E-05,0.431529356
1.70E-05,0.43229193
1.70E-05,0.433044158
1.70E-05,0.43378597
1.71E-05,0.434517296
1.71E-05,0.435238063
1.71E-05,0.435948203
1.71E-05,0.436647645
1.71E-05,0.437336321
1.72E-05,0.43801416
1.72E-05,0.438681095
1.72E-05,0.439337057
1.72E-05,0.439981978
1.72E-05,0.440615791
1.73E-05,0.441238428
1.73E-05,0.441849822
1.73E-05,0.442449908
1.73E-05,0.443038618
1.73E-05,0.443615888
1.74E-05,0.444181652
1.74E-05,0.444735845
1.74E-05,0.445278403
1.74E-05,0.445809262
1.74E-05,0.446328358
1.75E-05,0.446835627
1.75E-05,0.447331008
1.75E-05,0.447814437
1.75E-05,0.448285852
1.75E-05,0.448745192
1.76E-05,0.449192396
1.76E-05,0.449627402
1.76E-05,0.450050152
1.76E-05,0.450460583
1.76E-05,0.450858638
